run,method,depth,iterations,inner_time,outer_time
1,compute_iterations,0,0,4.000,4.445350
1,compute_iterations,0,0,3.000,3.166209
1,compute_iterations,0,0,1.000,6.911765
2,compute_iterations,20,119,5.000,10.6181258
2,compute_iterations,20,99,4.000,8.676679
2,compute_iterations,20,79,3.000,19.116012
2,compute_iterations,20,40,2.000,5.8560969
2,compute_iterations,20,40,1.000,5.6736439
2,compute_iterations,15,158,5.000,8.603511
2,compute_iterations,15,132,4.000,9.0752361
2,compute_iterations,15,106,3.000,8.5931048
2,compute_iterations,15,79,2.000,9.182789
2,compute_iterations,10,237,5.000,12.2877739
2,compute_iterations,10,198,4.000,8.688665
2,compute_iterations,10,158,3.000,7.415522
2,compute_iterations,10,119,2.000,6.5243938
2,compute_iterations,10,40,1.000,4.5332292
2,compute_iterations,5,395,5.000,12.4873458
2,compute_iterations,5,395,4.000,19.6944069
2,compute_iterations,5,316,3.000,7.427169
2,compute_iterations,5,237,2.000,17.037101
2,compute_iterations,5,158,1.000,8.8177461
2,compute_iterations,0,0,5.000,5.5206032
2,compute_iterations,0,0,4.000,3.902616
2,compute_iterations,0,0,3.000,3.8461792
2,compute_iterations,0,0,2.000,3.8658021
2,compute_iterations,0,0,1.000,11.5419958
3,compute_iterations,20,119,5.000,9.4657289
3,compute_iterations,20,99,4.000,11.3710689
3,compute_iterations,20,60,3.000,9.118486
3,compute_iterations,20,60,2.000,8.5382652
3,compute_iterations,20,20,1.000,4.5579999
3,compute_iterations,15,158,5.000,9.208727
3,compute_iterations,15,132,4.000,9.2207022
3,compute_iterations,15,106,3.000,7.4375512
3,compute_iterations,15,79,2.000,6.501221
3,compute_iterations,15,53,1.000,4.5749249
3,compute_iterations,10,198,5.000,10.322937
3,compute_iterations,10,198,4.000,8.724530
3,compute_iterations,10,119,3.000,6.8256152
3,compute_iterations,10,119,2.000,5.7080918
3,compute_iterations,10,79,1.000,6.981903
3,compute_iterations,5,395,4.000,8.6961102
3,compute_iterations,5,316,3.000,7.434005
3,compute_iterations,5,237,2.000,6.7053972
3,compute_iterations,5,158,1.000,9.320802
3,compute_iterations,0,0,5.000,4.149434
3,compute_iterations,0,0,4.000,16.0333761
3,compute_iterations,0,0,3.000,3.431928
3,compute_iterations,0,0,2.000,3.071767
3,compute_iterations,0,0,1.000,5.9012319
4,compute_iterations,20,119,5.000,17.7149248
0,compute_iterations,20,119,5.000,10.8383569
0,compute_iterations,20,99,4.000,19.7063389
0,compute_iterations,20,79,3.000,18.747058
0,compute_iterations,20,60,2.000,5.617861
0,compute_iterations,20,20,1.000,8.799232
0,compute_iterations,15,158,5.000,23.7323428
0,compute_iterations,15,132,4.000,8.682518
0,compute_iterations,15,106,3.000,8.5032832
0,compute_iterations,15,79,2.000,17.941927
0,compute_iterations,15,53,1.000,6.011049
0,compute_iterations,10,237,5.000,14.509820
0,compute_iterations,10,198,4.000,8.689566
0,compute_iterations,10,158,3.000,13.3263939
0,compute_iterations,10,119,2.000,7.374929
0,compute_iterations,10,79,1.000,5.029076
0,compute_iterations,5,474,5.000,8.9299512
0,compute_iterations,5,395,4.000,15.3236748
0,compute_iterations,5,316,3.000,8.428919
0,compute_iterations,5,237,2.000,7.7551562
0,compute_iterations,5,79,1.000,9.9595359
0,compute_iterations,1,2366,5.000,9.8469861
0,compute_iterations,1,1578,4.000,7.482749
0,compute_iterations,1,1578,3.000,26.663264
0,compute_iterations,1,1184,2.000,8.924371
0,compute_iterations,1,395,1.000,12.5968542
0,compute_iterations,0,0,5.000,6.134869
0,compute_iterations,0,0,4.000,19.316497
0,compute_iterations,0,0,3.000,3.166579
0,compute_iterations,0,0,2.000,3.1229692
0,compute_iterations,0,0,1.000,5.149269
1,compute_iterations,20,119,5.000,11.2711222
1,compute_iterations,20,99,4.000,8.676951
1,compute_iterations,20,79,3.000,7.356717
1,compute_iterations,20,60,2.000,10.247723
1,compute_iterations,20,40,1.000,8.455784
