run,method,depth,iterations,inner_time,outer_time
0,compute_iterations,1,331,10.000,14.2021723
0,compute_iterations,1,409,10.500,15.3993406
0,compute_iterations,1,304,11.000,13.7583566
0,compute_iterations,1,425,11.500,14.5085477
0,compute_iterations,1,387,12.000,16.5556686
0,compute_iterations,1,450,12.500,16.4443747
0,compute_iterations,1,481,13.000,17.4850824
0,compute_iterations,1,407,13.500,18.0138878
0,compute_iterations,1,533,14.000,17.7682716
0,compute_iterations,1,508,14.500,18.0968613
0,compute_iterations,1,468,15.000,18.8786900
0,compute_iterations,1,529,15.500,19.5505688
0,compute_iterations,1,597,16.000,20.6449543
0,compute_iterations,1,609,16.500,20.3577094
0,compute_iterations,1,655,17.000,21.1337598
0,compute_iterations,1,519,17.500,23.2254470
0,compute_iterations,1,514,18.000,22.0673456
0,compute_iterations,1,558,18.500,23.2142264
0,compute_iterations,1,556,19.000,23.2902588
0,compute_iterations,1,487,19.500,23.8111125
0,compute_iterations,1,600,20.000,24.3514855
0,compute_iterations,2,173,10.000,13.8153825
0,compute_iterations,2,155,10.500,15.1531228
0,compute_iterations,2,198,11.000,15.9949607
0,compute_iterations,2,224,11.500,15.2636681
0,compute_iterations,2,188,12.000,15.4262579
0,compute_iterations,2,232,12.500,16.0932293
0,compute_iterations,2,209,13.000,18.4282532
0,compute_iterations,2,205,13.500,17.7729763
0,compute_iterations,2,269,14.000,18.2121832
0,compute_iterations,2,215,14.500,18.9900593
0,compute_iterations,2,243,15.000,19.6694891
0,compute_iterations,2,252,15.500,19.1005430
0,compute_iterations,2,261,16.000,20.3207989
0,compute_iterations,2,256,16.500,21.5125702
0,compute_iterations,2,291,17.000,20.1495912
0,compute_iterations,2,295,17.500,20.3433826
0,compute_iterations,2,283,18.000,22.0518042
0,compute_iterations,2,251,18.500,22.9016503
0,compute_iterations,2,305,19.000,22.9948322
0,compute_iterations,2,314,19.500,23.7953615
0,compute_iterations,2,353,20.000,28.9701948
1,compute_iterations,1,335,10.000,13.6655741
1,compute_iterations,1,294,10.500,14.9184316
1,compute_iterations,1,414,11.000,15.2701708
1,compute_iterations,1,369,11.500,15.5103674
1,compute_iterations,1,500,12.000,16.0499220
1,compute_iterations,1,403,12.500,15.246689
1,compute_iterations,1,372,13.000,16.8776824
1,compute_iterations,1,439,13.500,17.8035312
1,compute_iterations,1,418,14.000,18.2926683
1,compute_iterations,1,500,14.500,18.6183965
1,compute_iterations,1,517,15.000,19.7231989
1,compute_iterations,1,470,15.500,19.7926452
1,compute_iterations,1,523,16.000,20.215708
1,compute_iterations,1,559,16.500,20.4429138
1,compute_iterations,1,606,17.000,21.3511569
1,compute_iterations,1,567,17.500,21.331986
1,compute_iterations,1,531,18.000,22.0820065
1,compute_iterations,1,612,18.500,22.9132655
1,compute_iterations,1,685,19.000,23.6377277
1,compute_iterations,1,765,19.500,23.0242505
1,compute_iterations,1,719,20.000,23.4690382
1,compute_iterations,2,146,10.000,13.8617907
1,compute_iterations,2,178,10.500,15.0531763
1,compute_iterations,2,155,11.000,13.9819328
1,compute_iterations,2,161,11.500,15.8766012
1,compute_iterations,2,201,12.000,15.1526575
1,compute_iterations,2,173,12.500,17.0221474
1,compute_iterations,2,239,13.000,17.8599307
1,compute_iterations,2,200,13.500,18.2800265
1,compute_iterations,2,237,14.000,18.4203181
1,compute_iterations,2,252,14.500,17.6895574
1,compute_iterations,2,208,15.000,19.9499809
1,compute_iterations,2,239,15.500,19.2755270
1,compute_iterations,2,284,16.000,20.5883572
1,compute_iterations,2,282,16.500,20.4698444
1,compute_iterations,2,294,17.000,21.5346706
1,compute_iterations,2,296,17.500,21.1430503
