run,method,depth,iterations,inner_time,outer_time
1,compute_iterations,3,194,16.000,21.3884294
1,compute_iterations,3,178,16.500,19.931752
1,compute_iterations,3,186,17.000,22.5846378
1,compute_iterations,3,208,17.500,22.3432492
1,compute_iterations,3,213,18.000,21.1436665
1,compute_iterations,3,178,18.500,23.6294065
1,compute_iterations,3,209,19.000,22.382096
1,compute_iterations,3,183,19.500,25.6951955
1,compute_iterations,3,227,20.000,25.4480769
1,compute_iterations,4,81,10.000,14.0529254
1,compute_iterations,4,83,10.500,14.7722818
1,compute_iterations,4,94,11.000,14.9057152
1,compute_iterations,4,100,11.500,16.2608884
1,compute_iterations,4,96,12.000,18.4065278
1,compute_iterations,4,114,12.500,15.9979222
1,compute_iterations,4,98,13.000,17.0758993
1,compute_iterations,4,104,13.500,17.7591139
1,compute_iterations,4,120,14.000,20.8066668
1,compute_iterations,4,115,14.500,19.5367994
1,compute_iterations,4,123,15.000,21.0525720
1,compute_iterations,4,137,15.500,19.0543816
1,compute_iterations,4,147,16.000,20.2096169
1,compute_iterations,4,150,16.500,20.4490934
1,compute_iterations,4,130,17.000,20.4052929
1,compute_iterations,4,138,17.500,22.2839615
1,compute_iterations,4,149,18.000,22.3105605
1,compute_iterations,4,163,18.500,23.5046277
1,compute_iterations,4,156,19.000,23.7307164
1,compute_iterations,4,135,19.500,24.4825324
1,compute_iterations,4,143,20.000,25.2447887
2,compute_iterations,1,357,10.000,17.1967096
2,compute_iterations,1,412,10.500,17.0072636
2,compute_iterations,1,325,11.000,13.8894699
2,compute_iterations,1,446,11.500,16.0509963
2,compute_iterations,1,343,12.000,16.7690036
2,compute_iterations,1,432,12.500,17.6102287
2,compute_iterations,1,517,13.000,17.6868016
2,compute_iterations,1,432,13.500,17.1320355
2,compute_iterations,1,441,14.000,19.1740667
2,compute_iterations,1,507,14.500,17.4420982
2,compute_iterations,1,430,15.000,18.754063
2,compute_iterations,1,446,15.500,18.6840134
2,compute_iterations,1,569,16.000,21.0837416
2,compute_iterations,1,567,16.500,21.9749003
2,compute_iterations,1,536,17.000,22.8888204
2,compute_iterations,1,530,17.500,21.6085269
2,compute_iterations,1,667,18.000,24.2508221
2,compute_iterations,1,682,18.500,23.2742416
2,compute_iterations,1,656,19.000,22.8215678
